timestamp,open,high,low,close,volume
2024-08-05,199.0900,213.5000,196.0000,209.2700,119548589
2024-08-02,219.1500,225.6000,217.7100,219.8600,105568560
2024-08-01,224.3700,224.4800,217.0200,218.3600,62500996
2024-07-31,221.4400,223.8200,220.6300,222.0800,50036262
2024-07-30,219.1900,220.3250,216.1200,218.8000,41643840
2024-07-29,216.9600,219.3000,215.7500,218.2400,36311778
2024-07-26,218.7000,219.4900,216.0100,217.9600,41601345
2024-07-25,218.9300,220.8500,214.6200,217.4900,51391199
2024-07-24,224.0000,224.8000,217.1300,218.5400,61777576
2024-07-23,224.3650,226.9400,222.6800,225.0100,39960260
2024-07-22,227.0100,227.7800,223.0900,223.9600,48201835
2024-07-19,224.8200,226.8000,223.2750,224.3100,49151453
2024-07-18,230.2800,230.4400,222.2700,224.1800,66034585
2024-07-17,229.4500,231.4599,226.6400,228.8800,57345884
2024-07-16,235.0000,236.2700,232.3300,234.8200,43234278
2024-07-15,236.4800,237.2300,233.0900,234.4000,62631252
2024-07-12,228.9200,232.6400,228.6800,230.5400,53046527
2024-07-11,231.3900,232.3900,225.7700,227.5700,64710617
2024-07-10,229.3000,233.0800,229.2500,232.9800,62627687
2024-07-09,227.9300,229.4000,226.3721,228.6800,48169822
2024-07-08,227.0900,227.8500,223.2500,227.8200,59085861
2024-07-05,221.6500,226.4500,221.6500,226.3400,60412408
2024-07-03,220.0000,221.5500,219.0300,221.5500,37369801
2024-07-02,216.1500,220.3800,215.1000,220.2700,58046178
2024-07-01,212.0900,217.5100,211.9200,216.7500,60402929
